command,repos
augustus,extra
aulast,core
aulastlog,core
aunpack,extra
aureport,core
aurpublish,extra
ausearch,core
austro,extra
ausyscall,core
auth-tarball-from-git,extra
authenticator,extra
authorindex,extra
authoscope,extra
authvar,extra
auto-multiple-choice,extra
autob5,extra
autoconf,core
autoexpect,extra
autogb,extra
autogen,extra
autogsdoc,extra
autoheader,core
autoinst,extra
autom4te,core
automake,core
automake-1.18,core
automat-visualize,extra
autooptimiser,extra
autoopts-config,extra
autopasswd,extra
autopep8,extra
autopoint,core
autorandr,extra
autoreconf,core
autoscan,core
autosp,extra
autossh,extra
autotailor,extra
autotiling,extra
autotiling-rs,extra
autoupdate,core
av1an,extra
av1encode,extra
avahi-autoipd,extra
avahi-bookmarks,extra
avahi-browse,extra
avahi-browse-domains,extra
avahi-daemon,extra
avahi-discover,extra
avahi-discover-standalone,extra
avahi-dnsconfd,extra
avahi-publish,extra
avahi-publish-address,extra
avahi-publish-service,extra
avahi-resolve,extra
avahi-resolve-address,extra
avahi-resolve-host-name,extra
avahi-set-host-name,extra
avbtool,extra
avcenc,extra
avcstreamoutdemo,extra
average,extra
avfs-config,extra
avfsd,extra
avidemux3_cli,extra
avidemux3_jobs_qt5,extra
avidemux3_qt5,extra
avifdec,extra
avifenc,extra
avifgainmaputil,extra
avinfo,extra
avivotool,extra
avr-addr2line,extra
avr-ar,extra
avr-as,extra
avr-c++,extra
avr-c++filt,extra
avr-cpp,extra
avr-elfedit,extra
avr-g++,extra
avr-gcc,extra
avr-gcc-16.1.0,extra
avr-gcc-ar,extra
avr-gcc-nm,extra
avr-gcc-ranlib,extra
avr-gcov,extra
avr-gcov-dump,extra
avr-gcov-tool,extra
avr-gdb,extra
avr-gdb-add-index,extra
avr-gprof,extra
avr-gstack,extra
avr-ld,extra
avr-ld.bfd,extra
avr-lto-dump,extra
avr-man,extra
avr-nm,extra
avr-objcopy,extra
avr-objdump,extra
avr-ranlib,extra
avr-readelf,extra
avr-size,extra
avr-strings,extra
avr-strip,extra
avrdude,extra
avstopam,extra
avtest,extra
awesome,extra
awesome-client,extra
awk,core
awk_count,extra
awrite,extra
aws,extra
aws-vault,extra
aws_completer,extra
aws_zsh_completer.sh,extra
awww,extra
awww-daemon,extra
awx,extra
axcrypt2john,extra
axel,extra
axfer,extra
axfr-reverse.sh,extra
axfr.sh,extra
axohelp,extra
az,extra
azcopy,extra
azote,extra
b1ff,extra
b2,extra
b2sum,core
b2view,extra
b3sum,extra
b4,extra
b43-fwcutter,core
babel,extra
babeld,extra
babl,extra
backend-test-tools,extra
backup,core
